DATE,SEASON,HOME_TEAM,AWAY_TEAM,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,Winner
4/10/2019,2018-2019,Manchester United,Barcelona,0,1,Barcelona
4/16/2019,2018-2019,Juventus,Ajax,1,2,Ajax
4/16/2019,2018-2019,Barcelona,Manchester United,3,0,Barcelona
4/17/2019,2018-2019,Porto,Liverpool,1,4,Liverpool
4/17/2019,2018-2019,Man City,Tottenham,4,3,Man City
4/30/2019,2018-2019,Tottenham,Ajax,0,1,Ajax
5/1/2019,2018-2019,Barcelona,Liverpool,3,0,Barcelona
5/7/2019,2018-2019,Liverpool,Barcelona,4,0,Liverpool
5/8/2019,2018-2019,Ajax,Tottenham,2,3,Tottenham
6/1/2019,2018-2019,Tottenham,Liverpool,0,2,Liverpool
9/12/2017,2017-2018,Manchester United,FC Basel,3,0,Manchester United
9/12/2017,2017-2018,Benfica,CSKA Moskva,1,2,CSKA Moskva
9/27/2017,2017-2018,FC Basel,Benfica,5,0,FC Basel
9/27/2017,2017-2018,CSKA Moskva,Manchester United,1,4,Manchester United
10/18/2017,2017-2018,Benfica,Manchester United,0,1,Manchester United
10/18/2017,2017-2018,CSKA Moskva,FC Basel,0,2,FC Basel
10/31/2017,2017-2018,Manchester United,Benfica,2,0,Manchester United
10/31/2017,2017-2018,FC Basel,CSKA Moskva,1,2,CSKA Moskva
11/22/2017,2017-2018,CSKA Moskva,Benfica,2,0,CSKA Moskva
11/22/2017,2017-2018,FC Basel,Manchester United,1,0,FC Basel
12/5/2017,2017-2018,Benfica,FC Basel,0,2,FC Basel
12/5/2017,2017-2018,Manchester United,CSKA Moskva,2,1,Manchester United
9/12/2017,2017-2018,Bayern,RSC Anderlecht,3,0,Bayern
9/12/2017,2017-2018,Celtic,Paris,0,5,Paris
9/27/2017,2017-2018,Paris,Bayern,3,0,Paris
9/27/2017,2017-2018,RSC Anderlecht,Celtic,0,3,Celtic
10/18/2017,2017-2018,RSC Anderlecht,Paris,0,4,Paris
10/18/2017,2017-2018,Bayern,Celtic,3,0,Bayern
10/31/2017,2017-2018,Paris,RSC Anderlecht,5,0,Paris
10/31/2017,2017-2018,Celtic,Bayern,1,2,Bayern
11/22/2017,2017-2018,RSC Anderlecht,Bayern,1,2,Bayern
11/22/2017,2017-2018,Paris,Celtic,7,1,Paris
12/5/2017,2017-2018,Bayern,Paris,3,1,Bayern
12/5/2017,2017-2018,Celtic,RSC Anderlecht,0,1,RSC Anderlecht
9/12/2017,2017-2018,AS Roma,Atletico,0,0,Draw
9/12/2017,2017-2018,Chelsea,Qarabag FK,6,0,Chelsea
9/27/2017,2017-2018,Qarabag FK,AS Roma,1,2,AS Roma
9/27/2017,2017-2018,Atletico,Chelsea,1,2,Chelsea
10/18/2017,2017-2018,Qarabag FK,Atletico,0,0,Draw
10/18/2017,2017-2018,Chelsea,AS Roma,3,3,Draw
10/31/2017,2017-2018,AS Roma,Chelsea,3,0,AS Roma
10/31/2017,2017-2018,Atletico,Qarabag FK,1,1,Draw
11/22/2017,2017-2018,Qarabag FK,Chelsea,0,4,Chelsea
11/22/2017,2017-2018,Atletico,AS Roma,2,0,Atletico
12/5/2017,2017-2018,Chelsea,Atletico,1,1,Draw
12/5/2017,2017-2018,AS Roma,Qarabag FK,1,0,AS Roma
9/12/2017,2017-2018,Barcelona,Juventus,3,0,Barcelona
9/12/2017,2017-2018,Olympiakos Piraeus,Sporting CP,2,3,Sporting CP
9/27/2017,2017-2018,Juventus,Olympiakos Piraeus,2,0,Juventus
9/27/2017,2017-2018,Sporting CP,Barcelona,0,1,Barcelona
10/18/2017,2017-2018,Barcelona,Olympiakos Piraeus,3,1,Barcelona
10/18/2017,2017-2018,Juventus,Sporting CP,2,1,Juventus
10/31/2017,2017-2018,Olympiakos Piraeus,Barcelona,0,0,Draw
10/31/2017,2017-2018,Sporting CP,Juventus,1,1,Draw
11/22/2017,2017-2018,Juventus,Barcelona,0,0,Draw
11/22/2017,2017-2018,Sporting CP,Olympiakos Piraeus,3,1,Sporting CP
12/5/2017,2017-2018,Barcelona,Sporting CP,2,0,Barcelona
12/5/2017,2017-2018,Olympiakos Piraeus,Juventus,0,2,Juventus
9/13/2017,2017-2018,Liverpool,Sevilla,2,2,Draw
9/13/2017,2017-2018,NK Maribor,Spartak Moskva,1,1,Draw
9/26/2017,2017-2018,Spartak Moskva,Liverpool,1,1,Draw
9/26/2017,2017-2018,Sevilla,NK Maribor,3,0,Sevilla
10/17/2017,2017-2018,Spartak Moskva,Sevilla,5,1,Spartak Moskva
10/17/2017,2017-2018,NK Maribor,Liverpool,0,7,Liverpool
11/1/2017,2017-2018,Sevilla,Spartak Moskva,2,1,Sevilla
11/1/2017,2017-2018,Liverpool,NK Maribor,3,0,Liverpool
11/21/2017,2017-2018,Spartak Moskva,NK Maribor,1,1,Draw
11/21/2017,2017-2018,Sevilla,Liverpool,3,3,Draw
12/6/2017,2017-2018,Liverpool,Spartak Moskva,7,0,Liverpool
12/6/2017,2017-2018,NK Maribor,Sevilla,1,1,Draw
9/13/2017,2017-2018,Shakhtar Donetsk,Napoli,2,1,Shakhtar Donetsk
9/13/2017,2017-2018,Feyenoord,Man City,0,4,Man City
9/26/2017,2017-2018,Man City,Shakhtar Donetsk,2,0,Man City
9/26/2017,2017-2018,Napoli,Feyenoord,3,1,Napoli
10/17/2017,2017-2018,Man City,Napoli,2,1,Man City
10/17/2017,2017-2018,Feyenoord,Shakhtar Donetsk,1,2,Shakhtar Donetsk
11/1/2017,2017-2018,Napoli,Man City,2,4,Man City
11/1/2017,2017-2018,Shakhtar Donetsk,Feyenoord,3,1,Shakhtar Donetsk
11/21/2017,2017-2018,Napoli,Shakhtar Donetsk,3,0,Napoli
11/21/2017,2017-2018,Man City,Feyenoord,1,0,Man City
12/6/2017,2017-2018,Shakhtar Donetsk,Man City,2,1,Shakhtar Donetsk
12/6/2017,2017-2018,Feyenoord,Napoli,2,1,Feyenoord
9/13/2017,2017-2018,Porto,Besiktas,1,3,Besiktas
9/13/2017,2017-2018,Leipzig,AS Monaco,1,1,Draw
9/26/2017,2017-2018,AS Monaco,Porto,0,3,Porto
9/26/2017,2017-2018,Besiktas,Leipzig,2,0,Besiktas
10/17/2017,2017-2018,AS Monaco,Besiktas,1,2,Besiktas
10/17/2017,2017-2018,Leipzig,Porto,3,2,Leipzig
11/1/2017,2017-2018,Besiktas,AS Monaco,1,1,Draw
11/1/2017,2017-2018,Porto,Leipzig,3,1,Porto
11/21/2017,2017-2018,Besiktas,Porto,1,1,Draw
11/21/2017,2017-2018,AS Monaco,Leipzig,1,4,Leipzig
12/6/2017,2017-2018,Porto,AS Monaco,5,2,Porto
12/6/2017,2017-2018,Leipzig,Besiktas,1,2,Besiktas
9/13/2017,2017-2018,Tottenham,Dortmund,3,1,Tottenham
9/13/2017,2017-2018,Real Madrid,APOEL Nikosia,3,0,Real Madrid
9/26/2017,2017-2018,Dortmund,Real Madrid,1,3,Real Madrid
9/26/2017,2017-2018,APOEL Nikosia,Tottenham,0,3,Tottenham
10/17/2017,2017-2018,Real Madrid,Tottenham,1,1,Draw
10/17/2017,2017-2018,APOEL Nikosia,Dortmund,1,1,Draw
11/1/2017,2017-2018,Tottenham,Real Madrid,3,1,Tottenham
11/1/2017,2017-2018,Dortmund,APOEL Nikosia,1,1,Draw
11/21/2017,2017-2018,Dortmund,Tottenham,1,2,Tottenham
11/21/2017,2017-2018,APOEL Nikosia,Real Madrid,0,6,Real Madrid
12/6/2017,2017-2018,Real Madrid,Dortmund,3,2,Real Madrid
12/6/2017,2017-2018,Tottenham,APOEL Nikosia,3,0,Tottenham
2/13/2018,2017-2018,Juventus,Tottenham,2,2,Draw
2/13/2018,2017-2018,FC Basel,Man City,0,4,Man City
2/14/2018,2017-2018,Porto,Liverpool,0,5,Liverpool
2/14/2018,2017-2018,Real Madrid,Paris,3,1,Real Madrid
2/20/2018,2017-2018,Chelsea,Barcelona,1,1,Draw
2/20/2018,2017-2018,Bayern,Besiktas,5,0,Bayern
2/21/2018,2017-2018,Sevilla,Manchester United,0,0,Draw
2/21/2018,2017-2018,Shakhtar Donetsk,AS Roma,2,1,Shakhtar Donetsk
3/6/2018,2017-2018,Liverpool,Porto,0,0,Draw
3/6/2018,2017-2018,Paris,Real Madrid,1,2,Real Madrid
3/7/2018,2017-2018,Tottenham,Juventus,1,2,Juventus
3/7/2018,2017-2018,Man City,FC Basel,1,2,FC Basel
3/13/2018,2017-2018,Manchester United,Sevilla,1,2,Sevilla
3/13/2018,2017-2018,AS Roma,Shakhtar Donetsk,1,0,AS Roma
3/14/2018,2017-2018,Besiktas,Bayern,1,3,Bayern
3/14/2018,2017-2018,Barcelona,Chelsea,3,0,Barcelona
4/3/2018,2017-2018,Sevilla,Bayern,1,2,Bayern
4/3/2018,2017-2018,Juventus,Real Madrid,0,3,Real Madrid
4/4/2018,2017-2018,Barcelona,AS Roma,4,1,Barcelona
4/4/2018,2017-2018,Liverpool,Man City,3,0,Liverpool
4/10/2018,2017-2018,AS Roma,Barcelona,3,0,AS Roma
4/10/2018,2017-2018,Man City,Liverpool,1,2,Liverpool
4/11/2018,2017-2018,Bayern,Sevilla,0,0,Draw
4/11/2018,2017-2018,Real Madrid,Juventus,1,3,Juventus
4/24/2018,2017-2018,Liverpool,AS Roma,5,2,Liverpool
4/25/2018,2017-2018,Bayern,Real Madrid,1,2,Real Madrid
5/1/2018,2017-2018,Real Madrid,Bayern,2,2,Draw
5/2/2018,2017-2018,AS Roma,Liverpool,4,2,AS Roma
5/26/2018,2017-2018,Real Madrid,Liverpool,3,1,Real Madrid
9/13/2016,2016-2017,FC Basel,PFC Ludogorets Razgrad,1,1,Draw
9/13/2016,2016-2017,Paris,Arsenal FC,1,1,Draw
9/28/2016,2016-2017,Arsenal FC,FC Basel,2,0,Arsenal FC
9/28/2016,2016-2017,PFC Ludogorets Razgrad,Paris,1,3,Paris
10/19/2016,2016-2017,Arsenal FC,PFC Ludogorets Razgrad,6,0,Arsenal FC
10/19/2016,2016-2017,Paris,FC Basel,3,0,Paris
11/1/2016,2016-2017,FC Basel,Paris,1,2,Paris
11/1/2016,2016-2017,PFC Ludogorets Razgrad,Arsenal FC,2,3,Arsenal FC
11/23/2016,2016-2017,Arsenal FC,Paris,2,2,Draw
11/23/2016,2016-2017,PFC Ludogorets Razgrad,FC Basel,0,0,Draw
12/6/2016,2016-2017,FC Basel,Arsenal FC,1,4,Arsenal FC
12/6/2016,2016-2017,Paris,PFC Ludogorets Razgrad,2,2,Draw
9/13/2016,2016-2017,Dinamo Kiev,Napoli,1,2,Napoli
9/13/2016,2016-2017,Benfica,Besiktas,1,1,Draw
9/28/2016,2016-2017,Besiktas,Dinamo Kiev,1,1,Draw
9/28/2016,2016-2017,Napoli,Benfica,4,2,Napoli
10/19/2016,2016-2017,Dinamo Kiev,Benfica,0,2,Benfica
10/19/2016,2016-2017,Napoli,Besiktas,2,3,Besiktas
11/1/2016,2016-2017,Besiktas,Napoli,1,1,Draw
11/1/2016,2016-2017,Benfica,Dinamo Kiev,1,0,Benfica
11/23/2016,2016-2017,Besiktas,Benfica,3,3,Draw
11/23/2016,2016-2017,Napoli,Dinamo Kiev,0,0,Draw
12/6/2016,2016-2017,Dinamo Kiev,Besiktas,6,0,Dinamo Kiev
12/6/2016,2016-2017,Benfica,Napoli,1,2,Napoli
9/13/2016,2016-2017,Barcelona,Celtic,7,0,Barcelona
9/14/2016,2016-2017,Man City,Bor Monchengladbach,4,0,Man City
9/28/2016,2016-2017,Bor Monchengladbach,Barcelona,1,2,Barcelona
9/28/2016,2016-2017,Celtic,Man City,3,3,Draw
10/19/2016,2016-2017,Celtic,Bor Monchengladbach,0,2,Bor Monchengladbach
10/19/2016,2016-2017,Barcelona,Man City,4,0,Barcelona
11/1/2016,2016-2017,Bor Monchengladbach,Celtic,1,1,Draw
11/1/2016,2016-2017,Man City,Barcelona,3,1,Man City
11/23/2016,2016-2017,Bor Monchengladbach,Man City,1,1,Draw
11/23/2016,2016-2017,Celtic,Barcelona,0,2,Barcelona
12/6/2016,2016-2017,Barcelona,Bor Monchengladbach,4,0,Barcelona
12/6/2016,2016-2017,Man City,Celtic,1,1,Draw
9/13/2016,2016-2017,Bayern,FK Rostov,5,0,Bayern
9/13/2016,2016-2017,PSV Eindhoven,Atletico,0,1,Atletico
9/28/2016,2016-2017,Atletico,Bayern,1,0,Atletico
9/28/2016,2016-2017,FK Rostov,PSV Eindhoven,2,2,Draw
10/19/2016,2016-2017,Bayern,PSV Eindhoven,4,1,Bayern
10/19/2016,2016-2017,FK Rostov,Atletico,0,1,Atletico
11/1/2016,2016-2017,Atletico,FK Rostov,2,1,Atletico
11/1/2016,2016-2017,PSV Eindhoven,Bayern,1,2,Bayern
11/23/2016,2016-2017,FK Rostov,Bayern,3,2,FK Rostov
11/23/2016,2016-2017,Atletico,PSV Eindhoven,2,0,Atletico
12/6/2016,2016-2017,Bayern,Atletico,1,0,Bayern
12/6/2016,2016-2017,PSV Eindhoven,FK Rostov,0,0,Draw
9/14/2016,2016-2017,Leverkusen,CSKA Moskva,2,2,Draw
9/14/2016,2016-2017,Tottenham,AS Monaco,1,2,AS Monaco
9/27/2016,2016-2017,AS Monaco,Leverkusen,1,1,Draw
9/27/2016,2016-2017,CSKA Moskva,Tottenham,0,1,Tottenham
10/18/2016,2016-2017,Leverkusen,Tottenham,0,0,Draw
10/18/2016,2016-2017,CSKA Moskva,AS Monaco,1,1,Draw
11/2/2016,2016-2017,AS Monaco,CSKA Moskva,3,0,AS Monaco
11/2/2016,2016-2017,Tottenham,Leverkusen,0,1,Leverkusen
11/22/2016,2016-2017,CSKA Moskva,Leverkusen,1,1,Draw
11/22/2016,2016-2017,AS Monaco,Tottenham,2,1,AS Monaco
12/7/2016,2016-2017,Leverkusen,AS Monaco,3,0,Leverkusen
12/7/2016,2016-2017,Tottenham,CSKA Moskva,3,1,Tottenham
9/14/2016,2016-2017,Legia Warszawa,Dortmund,0,6,Dortmund
9/14/2016,2016-2017,Real Madrid,Sporting CP,2,1,Real Madrid
9/27/2016,2016-2017,Dortmund,Real Madrid,2,2,Draw
9/27/2016,2016-2017,Sporting CP,Legia Warszawa,2,0,Sporting CP
10/18/2016,2016-2017,Real Madrid,Legia Warszawa,5,1,Real Madrid
10/18/2016,2016-2017,Sporting CP,Dortmund,1,2,Dortmund
11/2/2016,2016-2017,Dortmund,Sporting CP,1,0,Dortmund
11/2/2016,2016-2017,Legia Warszawa,Real Madrid,3,3,Draw
11/22/2016,2016-2017,Dortmund,Legia Warszawa,8,4,Dortmund
11/22/2016,2016-2017,Sporting CP,Real Madrid,1,2,Real Madrid
12/7/2016,2016-2017,Legia Warszawa,Sporting CP,1,0,Legia Warszawa
12/7/2016,2016-2017,Real Madrid,Dortmund,2,2,Draw
9/14/2016,2016-2017,Club Brugge,Leicester City,0,3,Leicester City
9/14/2016,2016-2017,Porto,FC Kobenhavn,1,1,Draw
9/27/2016,2016-2017,FC Kobenhavn,Club Brugge,4,0,FC Kobenhavn
9/27/2016,2016-2017,Leicester City,Porto,1,0,Leicester City
10/18/2016,2016-2017,Club Brugge,Porto,1,2,Porto
10/18/2016,2016-2017,Leicester City,FC Kobenhavn,1,0,Leicester City
11/2/2016,2016-2017,FC Kobenhavn,Leicester City,0,0,Draw
11/2/2016,2016-2017,Porto,Club Brugge,1,0,Porto
11/22/2016,2016-2017,FC Kobenhavn,Porto,0,0,Draw
11/22/2016,2016-2017,Leicester City,Club Brugge,2,1,Leicester City
12/7/2016,2016-2017,Club Brugge,FC Kobenhavn,0,2,FC Kobenhavn
12/7/2016,2016-2017,Porto,Leicester City,5,0,Porto
9/14/2016,2016-2017,Juventus,Sevilla,0,0,Draw
9/14/2016,2016-2017,Olympique Lyon,Dinamo Zagreb,3,0,Olympique Lyon
9/27/2016,2016-2017,Dinamo Zagreb,Juventus,0,4,Juventus
9/27/2016,2016-2017,Sevilla,Olympique Lyon,1,0,Sevilla
10/18/2016,2016-2017,Dinamo Zagreb,Sevilla,0,1,Sevilla
10/18/2016,2016-2017,Olympique Lyon,Juventus,0,1,Juventus
11/2/2016,2016-2017,Juventus,Olympique Lyon,1,1,Draw
11/2/2016,2016-2017,Sevilla,Dinamo Zagreb,4,0,Sevilla
11/22/2016,2016-2017,Dinamo Zagreb,Olympique Lyon,0,1,Olympique Lyon
11/22/2016,2016-2017,Sevilla,Juventus,1,3,Juventus
12/7/2016,2016-2017,Juventus,Dinamo Zagreb,2,0,Juventus
12/7/2016,2016-2017,Olympique Lyon,Sevilla,0,0,Draw
2/14/2017,2016-2017,Benfica,Dortmund,1,0,Benfica
2/14/2017,2016-2017,Paris,Barcelona,4,0,Paris
2/15/2017,2016-2017,Real Madrid,Napoli,3,1,Real Madrid
2/15/2017,2016-2017,Bayern,Arsenal FC,5,1,Bayern
2/21/2017,2016-2017,Man City,AS Monaco,5,3,Man City
2/21/2017,2016-2017,Leverkusen,Atletico,2,4,Atletico
2/22/2017,2016-2017,Porto,Juventus,0,2,Juventus
2/22/2017,2016-2017,Sevilla,Leicester City,2,1,Sevilla
3/7/2017,2016-2017,Napoli,Real Madrid,1,3,Real Madrid
3/7/2017,2016-2017,Arsenal FC,Bayern,1,5,Bayern
3/8/2017,2016-2017,Dortmund,Benfica,4,0,Dortmund
3/8/2017,2016-2017,Barcelona,Paris,6,1,Barcelona
3/14/2017,2016-2017,Juventus,Porto,1,0,Juventus
3/14/2017,2016-2017,Leicester City,Sevilla,2,0,Leicester City
3/15/2017,2016-2017,AS Monaco,Man City,3,1,AS Monaco
3/15/2017,2016-2017,Atletico,Leverkusen,0,0,Draw
4/11/2017,2016-2017,Juventus,Barcelona,3,0,Juventus
4/12/2017,2016-2017,Dortmund,AS Monaco,2,3,AS Monaco
4/12/2017,2016-2017,Atletico,Leicester City,1,0,Atletico
4/12/2017,2016-2017,Bayern,Real Madrid,1,2,Real Madrid
4/18/2017,2016-2017,Leicester City,Atletico,1,1,Draw
4/18/2017,2016-2017,Real Madrid,Bayern,4,2,Real Madrid
4/19/2017,2016-2017,Barcelona,Juventus,0,0,Draw
4/19/2017,2016-2017,AS Monaco,Dortmund,3,1,AS Monaco
5/2/2017,2016-2017,Real Madrid,Atletico,3,0,Real Madrid
5/3/2017,2016-2017,AS Monaco,Juventus,0,2,Juventus
5/9/2017,2016-2017,Juventus,AS Monaco,2,1,Juventus
5/10/2017,2016-2017,Atletico,Real Madrid,2,1,Atletico
6/3/2017,2016-2017,Juventus,Real Madrid,1,4,Real Madrid
